"videoId","textDisplay","likeCount","publishedAt","label"
"oZv0EZRsQu0","Thank god for Aung San Suu Kyi for doing this.  I live in Yangon and I am so fed up with muslims acting like they own the world.  They are cowards who need to stop their terrorist attacks, or else more of this will happen.","0","2018-06-20T21:39:12.000Z","rohingya"
"oZv0EZRsQu0","You know west is weak, when even the budhists show more balls dealing with islam.","0","2017-11-27T22:16:34.000Z","rohingya"
"oZv0EZRsQu0","Look out people. Evil George soros is using canadian government bob ray to make sure the slaughter continues","0","2017-10-26T01:16:12.000Z","rohingya"
"oZv0EZRsQu0","Humanity has no religion! Bhutanese cruel king n Indian Govt. sent more then 6 hundred thousand refugees to nepal in during 90s they r still in nepal . 
Welcome to nepal rohingya brothers n sister!!","0","2017-10-20T23:27:08.000Z","rohingya"
"oZv0EZRsQu0","George Soros is involved somewhere,i can smell his MO.  If you want real news go to UK Column news.(yt)","0","2017-10-13T15:27:54.000Z","rohingya"
"oZv0EZRsQu0","Aung San Suu Kyi dared to hold talks with China and now she is the enemy of the West. If the BBC tells me one side of the story you can bet its bullshit.","0","2017-09-19T15:18:53.000Z","rohingya"
"oZv0EZRsQu0","If you want to actually find out the truth of whats going on in Myanmar,youtube UK Column news.","0","2017-09-19T15:13:55.000Z","rohingya"
"oZv0EZRsQu0","these bengali muslims are at home in Bangladesh. notice their men missing?? yep, they stayed behind to wage jihad..","0","2017-09-15T23:02:37.000Z","rohingya"
"oZv0EZRsQu0","This could happen to anyone, to you and your families. Governments rape you and your children, burn your children alive, torture and abuse your children!!! This could happen to you!!!","0","2017-09-13T10:26:12.000Z","rohingya"
"oZv0EZRsQu0","Bangladesh is now half miliun rohingya reforge maynmar malitary killing to rohingya world people helping to rohingya all Muslim countries looking for maynmar government killing to rohingya Muslim","0","2017-09-13T08:27:16.000Z","rohingya"
"oZv0EZRsQu0",":( PLease god help poor people","0","2017-09-12T09:20:04.000Z","rohingya"
"oZv0EZRsQu0","peace to these people as this type of condition once were in srilanka where they send tamil people out of their country.","0","2017-09-11T15:51:21.000Z","rohingya"
"oZv0EZRsQu0","Kutte ki mot maregi jo b hae ye PM is country ki..bohot bura hashar hoga iss ka IN SHA ALLAH..sbb Musalmaanon ko to maar rahe hain lkin un ko ye nhi pata k wo b Insaan hain...bohot bura haal hoga in haramiyon ka..zaleel kutte kanj** mot aayegi gandi inko kutte k pillon ko..jahannum raseet honge ye sb..bc mc","1","2017-09-11T09:46:42.000Z","rohingya"
"oZv0EZRsQu0","So called Muslims have been rejecting those 1500 pages of mathematical Miracles in the Quran for the past 40 years that is why they are suffering all the time. The worst is yet to come.","0","2017-09-10T02:57:38.000Z","rohingya"
"oZv0EZRsQu0","Muslim terorist??? You look wath hapen to muslim....!!!!","0","2017-09-09T15:28:13.000Z","rohingya"
"oZv0EZRsQu0","Whites and Europeans stand together with the Buddhists of Myanmar who have been attacked by evil violent Moslems. We know exactly what they are going through!","1","2017-09-09T10:10:02.000Z","rohingya"
"oZv0EZRsQu0","I bet 97% that are watching this are Muslims. If you aren't then I hope you are here to support us. Not hate.","1","2017-09-09T08:45:06.000Z","rohingya"
"oZv0EZRsQu0","bangali returning home","0","2017-09-09T08:01:47.000Z","rohingya"
"oZv0EZRsQu0","See BBC these are real refugeees, not the rapefugees you help send into Europe blagging us","0","2017-09-09T03:24:13.000Z","rohingya"
"oZv0EZRsQu0","She got Nobel for killings people","3","2017-09-08T13:50:27.000Z","rohingya"
"oZv0EZRsQu0","Genocide of non Muslim groups and ethnic groups is common in every Muslim majority country. Why nobody talks about that? no other religious groups are allowed to practice their religion in Middle East ..Muslims are getting the taste of their own medicine lol","1","2017-09-08T05:22:15.000Z","rohingya"
"oZv0EZRsQu0","Islam is the reason...no peace with these people; they do not integrate and attack the natives of countries they go to","0","2017-09-08T05:15:40.000Z","rohingya"
"oZv0EZRsQu0","Ask Iran, Qatar, Turkey, Saudi Arabia for help...do not beg the West when you so much hate Western values","2","2017-09-08T05:15:09.000Z","rohingya"
"oZv0EZRsQu0","fuck off BBC fake news! Muslim terrorist sympathizer!","2","2017-09-08T05:14:35.000Z","rohingya"
"oZv0EZRsQu0","So called Muslims have been rejecting the Almighty's mathematical miracles in the Quran ever since 40 years ago that is why all of these years they have been tasting their own rejections that is why disasters have been coming down on them almost every single day all of these years. The worst is yet to come and no one can stop that.","1","2017-09-08T04:40:48.000Z","rohingya"
"oZv0EZRsQu0","Haha fuck and fuck","1","2017-09-08T03:41:29.000Z","rohingya"
"oZv0EZRsQu0","Bangladeshi have wiped out hindus from bangladesh, they have always retorted to rape and violence of hindus in bangladesh and muslims majority district of west bengal. this is karma.","1","2017-09-07T15:02:22.000Z","rohingya"
"oZv0EZRsQu0","Allah helps him","0","2017-09-07T12:11:57.000Z","rohingya"
"oZv0EZRsQu0","God please helps this people","8","2017-09-07T11:02:47.000Z","rohingya"
"oZv0EZRsQu0","i really hate the ang san sochi and really hate the myanmer budhist all the budhist are terriorst and killer of muslims","3","2017-09-07T10:50:46.000Z","rohingya"
"oZv0EZRsQu0","The question is !? ... how would the world react if those victims were christian ? The Media will not tell you that there is a massacre against only Muslims   ... Thumbs Down for this stupid racist crazy world.","1","2017-09-07T10:34:24.000Z","rohingya"
"oZv0EZRsQu0","Reuters) - Muslim militants in Myanmar staged a coordinated attack on 30 police posts and an army base in Rakhine state on Friday, and at least 59 of the insurgents and 12 members of the security forces were killed, the army and government said.

The fighting - still going on in some areas - marked a major escalation in a simmering conflict in the northwestern state since last October, when similar attacks...https://www.google.co.uk/amp/mobile.reuters.com/article/amp/idUSKCN1B507K","0","2017-09-07T10:12:51.000Z","rohingya"
"oZv0EZRsQu0","Now if they stand at their ground and start fighting back they will be terrorist. It`s good that our government start giving them arms training and sending them back to myanmar to protect their human right","0","2017-09-07T08:00:34.000Z","rohingya"
"oZv0EZRsQu0","Rohingyas welcome to UK, London is most good place for rohingyas to take refugges and become citiznes, BBC should initiate program, many NGo's are helping rohigyas to come to london, .If BBC also helps it would be great, Jeremy corbyn supports rohingyas to come and settle in London. Theresa may should also take decision soon, i  wish BBC head's assist  her to take descision of bringing rohingyas to london.","2","2017-09-07T07:01:39.000Z","rohingya"
"oZv0EZRsQu0","These Burmese government will die soon..Just pray.","0","2017-09-07T04:27:15.000Z","rohingya"
"oZv0EZRsQu0","They clearly look like Bangladeshi's and not a shred like the Burmese. However it is also interesting to notice that Muslim rebels attacked several army posts and when the Burmese army attack the rebels these Muslims cry genocide and what's not. I just don't trust the Muslims per definition as we have seen them lie about almost everything when there is a camera around, and leftist western media are happily showing things they must know is fake.","0","2017-09-07T03:08:57.000Z","rohingya"
"oZv0EZRsQu0","Why their Allah didn't help them??","0","2017-09-06T23:48:47.000Z","rohingya"
"oZv0EZRsQu0","And you are taking video of them instead of giving food and water. Great work","0","2017-09-06T21:57:56.000Z","rohingya"
"oZv0EZRsQu0","do you know why only indonesian is welcome by myanmar as solving this problem.? because Indonesia is the largest Islamic country in the world, Myanmar has no choice but to stop the conflict, if it does not stop, then there is no choice but to destroy myanmar","0","2017-09-06T20:16:02.000Z","rohingya"
"oZv0EZRsQu0","chodu     log<f0><U+009F><U+0098><U+0086><f0><U+009F><U+0098><U+0086><f0><U+009F><U+0098><U+0086><f0><U+009F><U+0098><U+0086><f0><U+009F><U+0098><U+0086>     gaddar........<f0><U+009F><U+0098><U+0088><f0><U+009F><U+0098><U+0088><f0><U+009F><U+0098><U+0088><f0><U+009F><U+0098><U+0088><f0><U+009F><U+0098><U+0088><f0><U+009F><U+0098><U+0088>","0","2017-09-06T20:04:59.000Z","rohingya"
"oZv0EZRsQu0","https://www.generosity.com/emergencies-fundraising/stand-with-homeless-rohingyas","0","2017-09-06T19:47:55.000Z","rohingya"
"oZv0EZRsQu0","https://www.generosity.com/emergencies-fundraising/stand-with-homeless-rohingyas","0","2017-09-06T19:44:06.000Z","rohingya"
"oZv0EZRsQu0","What if this is a sign that god want to move all the rohingyans to bangladesh and safe out of myanmar and destroy myanmar with disasters?","2","2017-09-06T18:56:35.000Z","rohingya"
"oZv0EZRsQu0","Stupid Budha stupid burma","2","2017-09-06T18:14:50.000Z","rohingya"
"oZv0EZRsQu0","Stupid Budha stupid burma","2","2017-09-06T18:14:50.000Z","rohingya"
"oZv0EZRsQu0","Buddha phobe ... middle finger","0","2017-09-06T18:13:13.000Z","rohingya"
"oZv0EZRsQu0","<f0><U+009F><U+0099><U+0081><f0><U+009F><U+0099><U+0081><f0><U+009F><U+0099><U+0081><f0><U+009F><U+0099><U+0081>","0","2017-09-06T17:15:18.000Z","rohingya"
"oZv0EZRsQu0","Ya Allah give strength to my Muslim brother's .. help them.. change the hearts of opressars.. bless them with kindness","3","2017-09-06T16:34:31.000Z","rohingya"
"oZv0EZRsQu0","MYANMAR WE WILL BOM YOUR COUNTRY....!!!!!!","1","2017-09-06T15:47:36.000Z","rohingya"
"oZv0EZRsQu0","They are reaping what they sowed.","0","2017-09-06T14:54:02.000Z","rohingya"
"oZv0EZRsQu0","<f0><U+009F><U+0098><U+00A2><f0><U+009F><U+0098><U+00A2><f0><U+009F><U+0098><U+00A2><f0><U+009F><U+0098><U+00A2><f0><U+009F><U+0098><U+00A2><f0><U+009F><U+0098><U+00A2><f0><U+009F><U+0098><U+00A2><f0><U+009F><U+0098><U+00A2><f0><U+009F><U+0098><U+00A2> I LOVE ISLAM.
   The people of muslim rohingya don't worry, a lot of the country's help you. you must be strong and resilient, perhaps this ordeal of Allah swt, submit himself was to Allah swt, and always was pray to Allah swt ask for help.","1","2017-09-06T14:42:56.000Z","rohingya"
"oZv0EZRsQu0","<f0><U+009F><U+0098><U+00A2><f0><U+009F><U+0098><U+00A2><f0><U+009F><U+0098><U+00A2><f0><U+009F><U+0098><U+00A2><f0><U+009F><U+0098><U+00A2><f0><U+009F><U+0098><U+00A2><f0><U+009F><U+0098><U+00A2><f0><U+009F><U+0098><U+00A2><f0><U+009F><U+0098><U+00A2> I LOVE ISLAM.
   The people of muslim rohingya don't worry, a lot of the country's help you. you must be strong and resilient, perhaps this ordeal of Allah swt, submit himself was to Allah swt, and always was pray to Allah swt ask for help.","0","2017-09-06T14:42:52.000Z","rohingya"
"oZv0EZRsQu0","<f0><U+009F><U+0098><U+00A2><f0><U+009F><U+0098><U+00A2><f0><U+009F><U+0098><U+00A2><f0><U+009F><U+0098><U+00A2><f0><U+009F><U+0098><U+00A2><f0><U+009F><U+0098><U+00A2><f0><U+009F><U+0098><U+00A2><f0><U+009F><U+0098><U+00A2><f0><U+009F><U+0098><U+00A2> I LOVE ISLAM.
   The people of muslim rohingya don't worry, a lot of the country's help you. you must be strong and resilient, perhaps this ordeal of Allah swt, submit himself was to Allah swt, and always was pray to Allah swt ask for help.","3","2017-09-06T14:42:49.000Z","rohingya"
"oZv0EZRsQu0","<f0><U+009F><U+0098><U+00A2><f0><U+009F><U+0098><U+00A2><f0><U+009F><U+0098><U+00A2><f0><U+009F><U+0098><U+00A2><f0><U+009F><U+0098><U+00A2><f0><U+009F><U+0098><U+00A2><f0><U+009F><U+0098><U+00A2><f0><U+009F><U+0098><U+00A2><f0><U+009F><U+0098><U+00A2> I LOVE ISLAM.
   The people of muslim rohingya don't worry, a lot of the country's help you. you must be strong and resilient, perhaps this ordeal of Allah swt, submit himself was to Allah swt, and always was pray to Allah swt ask for help.","0","2017-09-06T14:42:43.000Z","rohingya"
"oZv0EZRsQu0","<f0><U+009F><U+0098><U+00A2><f0><U+009F><U+0098><U+00A2><f0><U+009F><U+0098><U+00A2><f0><U+009F><U+0098><U+00A2><f0><U+009F><U+0098><U+00A2><f0><U+009F><U+0098><U+00A2><f0><U+009F><U+0098><U+00A2><f0><U+009F><U+0098><U+00A2><f0><U+009F><U+0098><U+00A2> I LOVE ISLAM.
   The people of muslim rohingya don't worry, a lot of the country's help you. you must be strong and resilient, perhaps this ordeal of Allah swt, submit himself was to Allah swt, and always was pray to Allah swt ask for help.","0","2017-09-06T14:42:37.000Z","rohingya"
"oZv0EZRsQu0","lanat ase govt par","0","2017-09-06T14:28:38.000Z","rohingya"
"oZv0EZRsQu0","Fuck Aung San Su Kyii, Fuck Myanmar President, Fuck Global Cummunity","1","2017-09-06T13:56:46.000Z","rohingya"
"oZv0EZRsQu0","world silent bacause the victim is moslem, and if the victim is west country even the victim just 3 or 5 people, presiden around the world said bla bla bla","3","2017-09-06T13:56:00.000Z","rohingya"
"oZv0EZRsQu0","I HAD NO IDEA BUDDIHST COUNTRY LIKE MYANMAR HAD SO MANY  MUSLIMS???","0","2017-09-06T13:49:43.000Z","rohingya"
"oZv0EZRsQu0","In India they have problem
in Philipines they have problem 
in UK they have problem
in US they have problem
in Myanmar they hv problem
these mofos just dont want to live peacefully..
France gave them shelter and now you cant even roam around in streets of paris.there is always possibility of terror attacks..so my advise to Myanmar govt..kill these mutherfuckers cockroaches
them parasites should not waste oxygen no more..
lynch them char them do watever make sure this disease doesnt enter India. we are already suffering from mess these scums have created.
#GoBackRohiyangas
#TerroristRohiyangas","0","2017-09-06T13:35:03.000Z","rohingya"
"oZv0EZRsQu0","I hate myanmar's government & there idiot armies","2","2017-09-06T12:09:14.000Z","rohingya"
"oZv0EZRsQu0","Where is Pakistan ? 
Where is ksa .. Where is all the Muslims country <f0><U+009F><U+0098><U+00A2>
Fuck Myanmar 
God help them .. It's not about religion 
They are still human being 
Not kill them like animals","2","2017-09-06T11:59:28.000Z","rohingya"
"oZv0EZRsQu0","As much as I dislike hearing about muslims, stories like this remind me why I hate them and why the west must eradicate the scourge that is islam.","1","2017-09-06T11:52:23.000Z","rohingya"
"oZv0EZRsQu0","They can stay there. We don't want these savages swarming into Europe and bringing their foul 'culture' and terrorism with them.","2","2017-09-06T11:40:45.000Z","rohingya"
"oZv0EZRsQu0","Bangladesh PM Sheikh Hasina doesn't give a damn about them so why should you BBC? And why haven't you reported what she said?","1","2017-09-06T11:29:18.000Z","rohingya"
"oZv0EZRsQu0","mynmar presiden are terrorist..please call your non muslim mynmar in malaysia go back to mynmar .","0","2017-09-06T11:10:50.000Z","rohingya"
"oZv0EZRsQu0","Which British organization is helping there now?","0","2017-09-06T10:30:45.000Z","rohingya"
"oZv0EZRsQu0","J'aurais bien aime voir la reaction ""Du Monde"" s'il s'agissait de chretiens ou juif. Mais bon ce ne sont que des musulmans qui meurt...","0","2017-09-06T08:56:12.000Z","rohingya"
"oZv0EZRsQu0","Yes","1","2017-09-06T08:48:47.000Z","rohingya"
"oZv0EZRsQu0","suu ki is a biggest terrorist in the world","0","2017-09-06T08:34:38.000Z","rohingya"
"oZv0EZRsQu0","Love","0","2017-09-06T07:55:35.000Z","rohingya"
"oZv0EZRsQu0","Miss you Myanmar president","1","2017-09-06T07:55:23.000Z","rohingya"
"oZv0EZRsQu0","Fuck myanmar.... Its not humanisme... Prrsident myanmar is idiot","1","2017-09-06T07:47:29.000Z","rohingya"
"oZv0EZRsQu0","Turki hamla karo kutto pr","1","2017-09-06T06:43:35.000Z","rohingya"
"oZv0EZRsQu0","Please help the rohinga...supprot Bangladesh for the war between Bangladesh and Myanmar .........joy bangla ....help the muslim .....","27","2017-09-06T06:41:38.000Z","rohingya"
"oZv0EZRsQu0","As an atheist I feel disgust for prosecuting and the killing of innocent people.
The Nobel Peace Prize should be withdrawn from Aung San Suu Kyi Now.","2","2017-09-06T06:36:57.000Z","rohingya"
"oZv0EZRsQu0","Islam is bullied and no one ever talked about that and say that what muslims see right now is a true terrorism . fuck universe","0","2017-09-06T05:44:54.000Z","rohingya"
"oZv0EZRsQu0","OMG fuck","0","2017-09-06T05:02:22.000Z","rohingya"
"oZv0EZRsQu0","So these helpless women, kids, and senior citizens are attacking Myanmar army according to Myanmar's?They denied VISA to UN investigators and blocked all internation news agencies there so that they can murder them without having evidence. Myanmar is committing the worst genocide of human history. Su Ki is lady Hitler and must face International Criminal Tribunal for Rohingya genocide.","9","2017-09-06T04:52:53.000Z","rohingya"
"oZv0EZRsQu0","United nations retarded, even Trump said. United nations can't do nothing but, every year meeting in NYC, create traffic everywhere.","0","2017-09-06T03:53:01.000Z","rohingya"
"oZv0EZRsQu0","Where is isis? Go for Burma.","0","2017-09-06T03:49:56.000Z","rohingya"
"oZv0EZRsQu0","fuck ...","0","2017-09-06T03:38:36.000Z","rohingya"
"oZv0EZRsQu0","nobody has dare to stop the bluddy Buddhist terrorist.... y they Kill innocent muslim people... it's shameless....","1","2017-09-06T03:36:44.000Z","rohingya"
"oZv0EZRsQu0","I m Hindu and I seen Buddhist most calm people in world. Don't know why they killing innocent people. They should kill Islam Terrorist not innocent people. Don't know but America and Islam terrorism going to finish whole world. Everywhere in world it's hatred only. No one speaks about love and peace. Wish there was no religion!","0","2017-09-06T03:24:13.000Z","rohingya"
"oZv0EZRsQu0","way not shoot Burma real pic on army crimes.","0","2017-09-06T03:17:00.000Z","rohingya"
"oZv0EZRsQu0","If you think myanmar army is right killing rohinga so i will say so why IS is wrong to kill innocent people??  #Revoked_Nobel_From_Lady_Hitlar.","0","2017-09-06T01:34:39.000Z","rohingya"
"oZv0EZRsQu0","Myanmar is doing the right thing, if you feel sorry for those people, please take them to your country then, I think you liberal guys do like refugees a lot. Take more to UK, Germany, France, everybody will be happy, including the refugees.","0","2017-09-06T01:18:13.000Z","rohingya"
"oZv0EZRsQu0","<f0><U+009F><U+0098><U+00AD><f0><U+009F><U+0098><U+00AD><f0><U+009F><U+0098><U+00AD><f0><U+009F><U+0098><U+00AD>","2","2017-09-06T00:12:37.000Z","rohingya"
"oZv0EZRsQu0","Why the UN and some countries are still shutting their mouth and supporting?
If it's happen to any other community they wil do the same ,I hope there are still people living to love people n respect without looking their race and religion,be a human and try to help those are in trouble","3","2017-09-05T22:54:24.000Z","rohingya"
"oZv0EZRsQu0","A BBC reporter is also a refugee.","1","2017-09-05T22:24:05.000Z","rohingya"
"oZv0EZRsQu0","Myanmar must be peaceful.some rohingya become terrorist and the whole bunch suffers the consequence.the rohingya did not stop it's people from joining terrorists.every rohingya child and adult are refugees.","2","2017-09-05T22:22:45.000Z","rohingya"
"oZv0EZRsQu0","i m pretty amazed and shocked by reading the comment section........so much of hate for these innocent people......i guess this would have happened to the people of other religion and the convicted would have been muslim.......u guys would be shouting and blaming islam that muslims are terrorist and bla bla bla......quiet pathetic......i am roud muslim and i condemn this behaviour by the buddhist majority of myanmar........","41","2017-09-05T21:51:45.000Z","rohingya"
